ticker,zscore,abs_zscore
CDNS,-0.24,0.24
LNT,-0.23,0.23
ICE,-0.23,0.23
PGR,-0.23,0.23
PWR,0.22,0.22
PEG,0.22,0.22
FCX,0.21,0.21
NEE,-0.21,0.21
DUK,0.19,0.19
GE,-0.19,0.19
PM,-0.19,0.19
MCK,-0.18,0.18
TDY,-0.17,0.17
PPL,0.17,0.17
KR,-0.17,0.17
TTWO,-0.15,0.15
WBA,-0.15,0.15
CAH,-0.15,0.15
K,-0.14,0.14
ALL,0.14,0.14
TRGP,-0.14,0.14
PNW,-0.13,0.13
KMI,0.13,0.13
WDC,0.13,0.13
XEL,0.12,0.12
AIZ,-0.12,0.12
FIS,-0.12,0.12
MMM,0.12,0.12
MLM,0.11,0.11
DTE,0.11,0.11
ED,0.11,0.11
CNP,0.09,0.09
CRWD,-0.09,0.09
AXON,0.09,0.09
GM,-0.07,0.07
NOC,0.06,0.06
DELL,0.06,0.06
IRM,0.05,0.05
RTX,0.05,0.05
ETN,-0.05,0.05
EXC,0.04,0.04
NFLX,0.04,0.04
NI,-0.04,0.04
APA,0.04,0.04
HII,-0.03,0.03
AIG,-0.03,0.03
AEE,-0.02,0.02
CB,-0.02,0.02
COR,-0.02,0.02
MRK,0.01,0.01
